Iteration,Accuracy,Latency
1,0.711,13.669
2,0.742,13.515
3,0.75,13.234
4,0.766,13.073
5,0.781,12.753
6,0.797,12.65
7,0.805,12.397
8,0.812,12.275
9,0.828,12.143
10,0.852,12.043
11,0.836,11.833
12,0.852,11.697
13,0.844,11.374
14,0.844,11.203
15,0.844,10.947
16,0.844,10.797
17,0.852,10.571
18,0.852,10.446
19,0.867,10.238
20,0.867,10.126
21,0.852,10.011
22,0.859,9.846
23,0.852,9.684
24,0.836,9.496
25,0.844,9.287
26,0.852,9.165
27,0.836,8.912
28,0.852,8.733
29,0.859,8.573
30,0.867,8.364
31,0.875,8.236
32,0.867,8.048
33,0.859,7.905
34,0.844,7.732
35,0.836,7.579
36,0.844,7.885
37,0.844,7.235
38,0.836,7.101
39,0.852,6.887
40,0.859,6.754
41,0.891,6.61
42,0.875,6.446
43,0.867,6.282
44,0.875,6.106
45,0.883,5.938
46,0.891,5.758
47,0.883,5.567
48,0.883,5.416
49,0.875,5.268
50,0.883,5.081
51,0.875,4.897
52,0.859,4.754
53,0.844,4.573
54,0.867,4.405
55,0.859,4.277
56,0.852,4.061
57,0.859,3.922
58,0.875,3.778
59,0.859,3.61
60,0.844,3.412
61,0.836,3.278
62,0.828,3.106
63,0.852,2.955
64,0.844,2.773
65,0.852,2.622
66,0.836,2.463
67,0.844,2.299
68,0.844,2.133
69,0.852,1.96
70,0.828,1.806
71,0.828,1.642
72,0.82,1.472
73,0.836,1.305
74,0.836,1.145
75,0.766,0.976
76,0.75,0.81
77,0.742,0.651
78,0.742,0.491
79,0.734,0.324
